Year,Detail
1974,"The Oakland Athletics' Gene Tenace proved that it's not always what you do, but sometimes what you don't. Tenace tied a 1930 mark set by John Clancy of the Chicago White Sox in which the first baseman played an entire nine-innings without ever having a fielding chance."
1974,"On Thursday April 4th, Hank Aaron hit a three-run homer off of Jack Billingham as the Atlanta Braves lost to the Reds 7-6, at Cincinnati's Riverfront Stadium. The eleven inning game itself took a backseat to ""Hammerin'"" Hank, who had finally tied Babe Ruth with home run number 714. Both Baseball Commissioner Bowie Kuhn and Vice-president Gerald Ford were on hand to congratulate the slugger who had persevered over racial prejudice and death threats from several fans who did not want to see the Bambino's record fall to a black man. Four days later, back home at Fulton County Stadium, Aaron hit number 715 off Los Angeles Dodgers' lefty, Al Downing. Lost in the celebration was Aaron's tying of Willie Mays' National League record of 2,063 runs as well as his team's 7-4 victory."
1974,"The Mets lost 4-3 to the Cardinals during a ""long-distance"" marathon night game on September 11th. After seven hours and twenty-five innings, the outing became the longest game to a decision in Major League history. In the end, New York had batted one-hundred three times and St. Louis was not far behind with ninety-nine plate appearances. A record one-hundred seventy-five official at-bats were recorded, with a Major League record of forty-five runners left stranded. Despite the historical moment, only a thousand fans were on hand when it finally ended at 3:13 a.m."
1974,"On June 29th, Lou Brock nabbed his seven-hundredth bag at Wrigley Field as the St. Louis Cardinals crushed the hometown ""Cubbies"" 11-2. Brock's sixty-fifth robbery of the season put him in the company of baseball's greatest ""criminals"" including Ty Cobb, who stole eight-hundred ninety-two bases, Eddie Collins (seven-hundred forty-three), Max Carey (seven-hundred thirty-eight) and Honus Wagner (seven-hundred one)."
1974,"Forty-eight major leaguers opted to try the new arbitration procedure that had been established to aid in the negotiation of contract differences. The first to file was Minnesota pitcher Dick Woodson, who was seeking an agreement worth $29,000. The Twins had offered $23,000 and both parties presented their arguments to a Detroit lawyer and labor arbitrator Harry H. Platt. After reviewing the monetary amounts presented, the verdict was cast in Woodson's favor."
1974,"A new organization known as the ""Major League Scouting Bureau"" was founded to cut expenditures across the league by centralizing scouting. Initially, membership was not mandatory (until 1984) resulting in only seventeen of twenty-four teams agreeing to pay the $118,000 fee for inclusion. All American League clubs except the White Sox and Toronto joined and only the Cubs, Expos, Pirates, Braves, Astros and the Reds represented the National League."
1974,"To prevent the sale of ""counterfeit"" memorabilia, a system was developed to maintain the integrity of authentic baseballs during Hank Aaron's quest for Babe Ruth's home run record. After Aaron's 710th round-tripper, all official major league balls issued were ""encoded"" with a special serial number and a diamond symbol that was only visible under fluorescent light."
1974,"Twenty-seven years after Jackie Robinson first entered the majors, Frank Robinson became Major League Baseball's first black manager. The thirty-nine year old player / manager signed a $175,000 contract with the Cleveland Indians making him the team's twenty-eighth skipper. Baseball Commissioner Bowie Kuhn announced that it should have taken place much sooner and Robinson stated that his only wish was that Jackie could have been there to share in the moment."
1974,"""I used to think Al Kaline could hit .400, or (Mickey) Mantle, but Mantle missed the ball too much. Too many strikeouts. He was forever going for the long ball, even with two strikes. Not quite enough finesse. And time ran out on Kaline and (Willie) Mays."" - Ted Williams in My Turn at Bat (1988)"
1974,←1973| 1974 Hitting Statistics League Leaders |1975→
1974,←1973| 1974 Pitching Statistics League Leaders |1975→
1974,1974 All-Star Game| 1974 Team Standings |1974 World Series
1974,Hitting Statistics League Leaderboard
1974,Pitching Statistics League Leaderboard
1974,Did you know that on Opening Day in 1974 the New York Yankees played their home opener in Shea Stadium because Yankee Stadium was being remodeled?
1974,"In 1946Bob Feller'sfastball was clocked at 98.6 miles per hour (some sources claim it was 107 miles per hour) using a military measuring device. On August 20, 1974,Nolan Ryan'sfastball was clocked at 100.9 miles per hour using a modern radar device during a game versus the Tigers. Ryan, who struck out nineteen batters, lost the game 1-0 toMickey Lolich."
1974,"OnSeptember 24, 1974,Al Kalinehit a shot down the right field line during the fourth inning versusDave McNallyof the Orioles. That double put Kaline in company with 11 other3,000 Hit Clubmembers! Eight days later the Tiger legend announced his retirement from the game."
1974,Where what happened yesterdayis being preserved today.
1974,"Copyright 1999-. All Rights Reserved by Baseball Almanac, Inc.Hosted byHosting 4 Less. Part of theBaseball AlmanacFamily"
1975,"Two assassination attempts were made on the life of U.S. President Gerald Ford, both in September. Lynette ""Squeaky"" Fromme, a twenty-seven year-old disciple of Charles Manson, attempted to shoot the president in Sacramento on September 5, with a .45 caliber hand gun. Fortunately, an alert secret-serviceman wrestled the weapon from her before she could fire a shot. On September 22, Sara Jane Moore, forty-five, a civil rights activist, fired a .38 caliber revolver at Ford, but a bystander diverted the shot at the last second. Both women are currently in prison serving life sentences."
1975,"Jimmy Hoffa, the powerful and controversial leader of the Teamsters Union from 1957 to 1971, disappeared from a restaurant parking lot in Bloomfield Hills, Michigan. Often alleged to have ties to organized crime, Hoffa had been convicted of fraud and jury tampering in 1964 and served four years in prison before his sentence was commuted by President Nixon. At the time of his mysterious abduction, he was trying to regain power in the union. Many felt that he had been killed by the Mafia and in 1983 he was declared legally dead."
1975,"On December 29th, a bomb at New York's LaGuardia Airport exploded killing eleven people and injuring seventy-five. To date, no one has ever been convicted, indicted, or even arrested for suspicion of having taken part in the act."
1975,"Fred Lynn, who would finish the season as the American League Most Valuable Player and Rookie of the Year, knocked in ten runs himself during a 15-1 romping of the Detroit Tigers on June 18th. The Red Sox's rookie outfielder connected for a two-run home run in the first, a three-run blast in the second, a two-run triple and an infield single tying an American League record with sixteen total bases."
1975,"On September 22nd, a near impossible statistical oddity occurred when both brothers Gaylord Perry of the Texas Rangers and Jim Perry of the Oakland Athletics matched identical career win-loss records of 215-174."
1975,"October 21stwitnessed one of the most dramatic homeruns in the history of the World Series. After a four day rain-delay, the Boston Red Sox and Cincinnati Reds resumed play at Fenway Park for an epic twelve-inning nail-biter. Carlton Fisk came up huge with a game-winning homer that deflected off of the left field foul pole (thanks to a little body language) tying the Series at three apiece and forcing a Game 7."
1975,"Pittsburgh Pirate second baseman Rennis Stennett became the first modern player to tally seven hits in a single nine-inning game. Stennett collected a triple, two doubles; four singles and scored five times during the 22-0 massacre over the Chicago Cubs while raising his average from .278 to .287. The last player with such a cramped scorecard was Baltimore's Wilbert Robinson in 1892."
1975,"Joe Torre of the New York Mets, tied a Major League record by hitting into four consecutive double plays during a 6-2 loss to the Houston Astros. The future Yankees manager was recorded in the company of ""Goose"" Goslin, who had originated the feat in 1934 and Mike Kreevich who matched him in 1939."
1975,New York Met Tom Seaver became the first pitcher in Major League history to record two-hundred plus strikeouts for eight consecutive years after he fanned the Pittsburgh Pirates Manny Sanguillen for a 3-0 victory and his twentieth win of the season.
1975,"Charles Finley's experimental position known as ""the designated runner"" came to an end after the Oakland Athletics owner released the prototype Herb Washington. The world-class sprinter had appeared in one-hundred five games while never batting and scored thirty-three runs plus thirty-one stolen bases in forty-eight attempts."
1975,"On April 8th, baseball's first black player/manager, Frank Robinson, made his debut as the skipper of the Cleveland Indians. Rachel Robinson, the widow of Jackie Robinson, threw out the first ball as the Tribe took on the visiting New York Yankees. Robinson sweetened the moment with a first-inning home run, the 575thof his career, and his team followed suite on the way to a 5-3 victory."
1975,"A pre-game ceremony honoring the United States Army's 200thbirthday ""backfires"" at Shea Stadium after two 75mmartillery batteries from Fort Hamilton fire a twenty-one gun salute. After the smoke cleared there was a large hole in the center field fence and broken windows throughout the box seat areas. Following a quick clean up and repairs, the New York Yankees went on to defeat Nolan Ryan and the California Angels 6-4."
1975,"Baseball's winningest manager, Casey Stengel died on September 29thof cancer at the age of eighty-five. Stengel had managed the New York Yankees second dynasty for twelve years while winning ten American League pennants and seven World Series Championships. After leaving the Bronx Bombers, he went on to manage the Mets before being inducted into the Baseball Hall of Fame in 1966."
1975,"""A lot of things happened to me that year (1975) . It was new and it happened very fast. I really didn't enjoy everything that was happening for me until later. Personally, I didn't get a chance to enjoy that until years later. As a team, I enjoyed that we were winning and in first almost the entire year. I came from a winning background (USC) with three national titles."" - Fred Lynn"
1975,←1974| 1975 Hitting Statistics League Leaders |1976→
1975,←1974| 1975 Pitching Statistics League Leaders |1976→
1975,1975 All-Star Game| 1975 Team Standings |1975 World Series
1975,Hitting Statistics League Leaderboard
1975,Pitching Statistics League Leaderboard
1975,"Fred Lynnof the Boston Red Sox led the American League during 1975 in doubles, runs scored, and slugging average which enabled him to become the league's first recipient of theRookie of the Year AwardandMost Valuable Player Award!"
1975,"Opening Day in Cleveland, April 8, 1975, marked the debut of baseball'sfirst black manager,Frank Robinson, who hit a home run during the first inning versus the New York Yankees ensuring his Indians (and managerial record) a 1-0 start!"
1975,"On June 1, 1975,Nolan Ryanof the California Angels won his 100th Major League game in style -no-hittingthe Orioles 1-0 and tyingSandy Koufaxfor the Major League career no-hitter record!"
1975,Where what happened yesterdayis being preserved today.
1975,"Copyright 1999-. All Rights Reserved by Baseball Almanac, Inc.Hosted byHosting 4 Less. Part of theBaseball AlmanacFamily"
1976,"The United States celebrated its bicentennial, marking the 200th anniversary of its independence. During the Fourth of July holiday period, hundreds of sailing ships (most from the nineteenth century) from around the world converged on New York City's harbor to participate in the celebration."
1976,"Jimmy Carter was selected as the Democratic Party's nominee for president, and the American people elected him to office over the incumbent president, Gerald Ford. In choosing Carter, the voters took a chance on a president about whom they knew little and one who prided himself on being relatively unknown outside his home state of Georgia. A political ""recluse"", he had never been a national candidate and had no significant experience on the national scene or any close ties to Washington. In addition, as a candidate from the Deep South, Carter was distrusted by many in the New Deal coalition that had dominated his party since 1932."
1976,"An Air France jetliner was hijacked to Entebbe, Uganda by the ""Popular Front for the Liberation of Palestine"" on June 27th. Once there, the hijackers separated the Jewish and Israeli passengers from the rest of the captives and demanded the release of several terrorists held in Israeli prisons. In a daring commando operation known as ""Operation Thunderbolt"" Israeli forces traveled 2,000 miles and landed at the Entebbe airport rescuing all hostages and terminating the terrorists."
1976,"New York Yankees catcher Thurman Munson was named the first team captain since ""Iron Horse"" Lou Gehrig had held the position in the 1930s. Unfortunately, Munson, like his predecessor, would die before his time in a plane crash in 1979."
1976,"The Chicago White Sox's Minnie Minoso joined the ""four-decade player club"" after entering a September 11th contest against the California Angels as a designated hitter. The fifty-three year-old went 0-3 as his team fell 7-3 to the ""halos"" and four years later Minoso became only the second five-decade player in Major League history."
1976,"On August 25th, the Minnesota Twins and New York Yankees went head-to-head for five hours and thirty-six minutes during a nineteen-inning marathon. Willie Randolph, of the Yanks, set an American League record for extra innings with thirteen assists and twenty chances at second base."
1976,"On April 17th, Mike Schmidt of the Philadelphia Phillies, hit four consecutive homeruns (and a single) accounting for eight runs himself during an 18-16 victory over the Chicago Cubs at Wrigley Field."
1976,"Pittsburgh's John Candelaria proved that the ""Candy Man"" can after he pitched a 2-0, no-hitter against the Los Angeles Dodgers on August 9th. The six-foot, seven-inch Pirate struck out seven and walked one for the first no-no against the L.A. version of the Dodgers."
1976,"Sparky Anderson's ""Big Red Machine"" compiled another stellar season with a record of 102-60. The Cincinnati Reds as they were also known as, later went on to sweep the New York Yankees in the World Series proving that they could maintain the momentum of their previous record-setting year (108-54) and once again, go the distance en route to their second Major League Championship in as many years."
1976,"The newly renovated Yankee Stadium was dedicated in a special pre-game ceremony attended by Mrs. Babe Ruth, Mrs. Lou Gehrig, Joe DiMaggio, Mickey Mantle, Whitey Ford, Don Larsen and eighty-five year old Bob Shawkey, who had pitched at the ballpark when it opened in 1923. In what some have considered to be a sign of the ""Babe"" showing disapproval of the changes to ""his house"", the $3 million dollar scoreboard ceased to function."
1976,"Media tycoon Ted Turner, owner of the Atlanta Braves and their broadcasting station, took advertising to new highs (and lows) after signing Andy Messersmith for the 1976 season. First he chose to ""nickname"" their newest acquisition ""Channel"" then he issued him the number ""17"" which also happened to be Turner's TV number. The preplanned marketing scheme resulted in Messersmith taking the field with ""Channel 17"" on his back. National League president, Chub Feeney quickly caught onto Turner and put an end to the tacky campaign."
1976,"On July 20th, ""Hammerin'"" Hank Aaron hit the 755th and final homerun of his career off the Anaheim Angels' Dick Drago during a 6-2 Milwaukee Brewers' win. The historical moment was soured though after the ball was retrieved by Dick Arndt, a member of the ground crew, who refused to return it to the rightful owner. Arndt was subsequently fired and has since then turned down offers of up to $10,000 from Hank Aaron himself."
1976,"In August, a contest was conducted across Washington to name the new expansion team in Seattle. After 15,000 entries, Roger Szmodis from Bellevue emerged the winner after proposing the name ""Mariners""."
1976,←1975| 1976 Hitting Statistics League Leaders |1977→
1976,←1975| 1976 Pitching Statistics League Leaders |1977→
1976,1976 All-Star Game| 1976 Team Standings |1976 World Series
1976,Hitting Statistics League Leaderboard
1976,Pitching Statistics League Leaderboard
1976,"On April 15, 1976, a newly remodeled Yankee Stadium opened its doors andBob Shawkey threwout the first pitch. Why Shawkey? Because he threw a three hitter when Yankee Stadium originally opened in 1923."
1976,"Did you know thatMark ""The Bird"" Fidrych, who led the American League in complete games and earned run average, made his first Major League start on May 15th of this season?"
1976,"The quote at the top of the page was made June 15, 1976 and Finley is specifically talking aboutVida Blue,Rollie Fingers, andJoe Rudi. The sales (Blue $1.5 million to the Yankees, Fingers & Rudi $1 million to the Orioles) were negated by Commissioner Bowie Kuhn three days later who in his press release stated, ""While I am aware that there have been cash sales of player contracts in the past, there has been no instance in my judgement which had the potential for harm to our game."""
1976,Where what happened yesterdayis being preserved today.
1976,"Copyright 1999-. All Rights Reserved by Baseball Almanac, Inc.Hosted byHosting 4 Less. Part of theBaseball AlmanacFamily"
1977,"In a seven hour period during the night of July 19-20, at least twelve inches of rain fell in the mountainous region around Johnstown, Pennsylvania. The emerging flood swept through the area, resulting in the deaths of seventy-seven people and damage in excess of $200 million. Despite the disaster, it paled in comparison to the first major flood that had devastated the area in 1889 killing 2,200 people."
1977,"David Berkowitz, also known as the ""Son of Sam"" terrorized the New York City area for over a year with a series of random shootings. Berkowitz had typically made victims of people in parked cars with a .44-caliber pistol and later explained that he adopted the name ""Son of Sam"" because of the ""demons"" in his neighbor Sam Carr's dog that ""made him do it."" Originally the serial killer pleaded insanity, but was later found competent to stand trial for six murders and seven attempted murders. After being found guilty on all counts, he was sentenced to twenty-five years to life for each of the murders."
1977,"The American Agricultural Movement was organized to preserve the family farm system and to seek 100% parity for all agricultural products. The nationwide farmer's strike resulted when their demands were not met by the United States Government by midnight, December 13th, but eventually subsided by March 1978 without the farmers accomplishing their goals."
1977,"Baseball's first black manager hired became the first also fired after Frank Robinson was let go by the struggling Cleveland Indians, who were 26-31 and in fourth place in the American League East by June. Jeff Torborg was named as his replacement."
1977,"On the Fourth of July, the Boston Red Sox set off some ""fireworks"" of their own as they launched eight home run blasts out of Fenway Park, tying a Major League record and beating the Toronto Blue Jays 9-6. The home run derby ended a nine-game losing streak and featured round-trippers by Fred Lynn, Jim Rice, Carl Yastrezemski, George Scott, Butch Hobson and Bernie Carbo."
1977,"On October 18th, Reggie Jackson officially became ""Mr. October"" after hitting three consecutive homeruns and five RBIs during Game 6 of the World Series. The New York Yankees followed his lead and went on to beat the Los Angeles Dodgers for their first World Championship title since 1962. Jackson finished the Series with five home runs, eight runs batted in and a .450 average."
1977,"During an 8-0 victory (in what be his last game in Shea Stadium as a Met until 1983) New York ace Tom Seaver sat down Dan Driessen, of the Cincinnati Reds, for his 2,397th K, passing Sandy Koufax for the twenty-third spot on the all-time strikeout kings list."
1977,"Three Atlanta Braves, Gary Matthews, Biff Pocoraba and Pat Rockett pulled off the impossible after they executed a triple steal over the San Diego Padres en-route to a 7-3 victory on September 11th."
1977,"Lou Brock stole the nine-hundredth base of his career and the thirty-fifth of the season during the opening game of a September 30th doubleheader between his St. Louis Cardinals and the New York Mets. The ""Redbirds"" went on to win the game 7-2."
1977,Mary Shane became the first female play-by-play announcer in Major League Baseball history after she was signed by the Chicago White Sox to broadcast their games for the 1977 season.
1977,"As part of a promotional night to debut the new ""Reggie Bar"", a candy bar named after Reggie Jackson, fans at Yankee Stadium received free samples. The marketing scheme backfired though as fans threw hundreds of them back onto the field forcing the game to be halted until the ground crew was able to clear them away."
1977,"Despite a miserable 54-107 record, the Toronto Blue Jays boasted a home attendance of 1,701,052 during their debut season (by comparison, the Seattle Mariners drew 1,338,511) — the most ever for a Major League expansion team through this season."
1977,"Prior to the start of the '77 season, the Toronto Blue Jays had agreed to a trade that would send veteran pitcher Bill Singer to the New York Yankees for the then, little used, left-hander Ron Guidry. All bets were off though after the front office realized that Singer was on the cover of their printed media guide. By the end of the season, Singer had gone 2-8 and retired while Guidry compiled a 16-7 record and an impressive 2.82 ERA."
1977,"""We had a certain swagger. These kids will develop that as they learn to win. Then they'll start expecting to."" - Dennis Eckersley"
1977,←1976| 1977 Hitting Statistics League Leaders |1978→
1977,←1976| 1977 Pitching Statistics League Leaders |1978→
1977,1977 All-Star Game| 1977 Team Standings |1977 World Series
1977,Hitting Statistics League Leaderboard
1977,Pitching Statistics League Leaderboard
1977,"On April 6, 1977, theSeattle Marinersplayed their first Major League game as 57,762 fans watched them lose to theCalifornia Angels7-0 at the Kingdome."
1977,"On April 7, 1977, the first game was played at Toronto's Exhibition Stadium. The first home run hit by an American League player on Canadian soil went toRichie Ziskof the Chicago White Sox, but theToronto Blue Jaysshot back and won 9-5."
1977,"On May 30, 1977,Dennis Eckersleyof the Indiansno-hitthe Angels and won 1-0 in Cleveland. Later during his career Eckersley commented about that particular game and the final out, ""I was ready, butGil (Flores)kept on stepping out of the box. I pointed at him, 'Get in there. They're not here to take your picture. You're the last out. Get in there.' I was pretty cocky back then!"""
1977,Where what happened yesterdayis being preserved today.
1977,"Copyright 1999-. All Rights Reserved by Baseball Almanac, Inc.Hosted byHosting 4 Less. Part of theBaseball AlmanacFamily"
1978,"On November 18th, nine-hundred twelve followers of American cult leader Jim Jones and his ""Peoples Temple"" died in a remote South American jungle compound called ""Jonestown"". Some members were shot, others were forced to drink poison, but most willingly participated in what Jones said was an act of ""revolutionary suicide."" More than two-hundred eighty children were killed and Jones himself was found fatally wounded by a gunshot to the head."
1978,"San Francisco California Mayor George Moscone and Supervisor Harvey Milk, the first acknowledged homosexual elected to office, were assassinated in their chambers at City Hall by former Supervisor Dan White. In 1985, White committed suicide in the garage of this Excelsior District home after a failed attempt to return to a normal life upon his release from prison."
1978,"U.S. President Jimmy Carter negotiated two controversial treaties with Panama's dictator General Omar Torrijos to return the Panama Canal to Panama. Many felt that both agreements were invalid as the Panama Canal was purchased from Panama by the 1903 Hay-Bunau-Varilla treaty ""in perpetuity,"" which meant that it was to remain in U.S. hands forever."
1978,"On June 4th, the Baltimore Orioles selected a young eighteen-year old from Aberdeen Maryland named Cal Ripken, Jr. The high school senior played both pitcher and outfielder while hitting .492 and posting a 7-2 record on the mound with an astounding 0.70 ERA."
1978,"Ron Guidry, of the New York Yankees, set an American League record by becoming the first left-hander to strike out eighteen batters in a single game during a 4-0 win over the Anaheim Angels."
1978,"After going two-for-four against the Chicago White Sox earlier in the day, Angels' outfielder Lyman Bostock was killed in a bizarre shooting accident. During a domestic dispute on September 23rd, the twenty-seven year old was hit in the head with a .410 gauge shotgun blast by his uncle who was en-route to shooting his aunt. Bostock was a .311 hitter in his fourth season in the Major Leagues and his father; Lyman Sr. had been a star player in the Negro Leagues."
1978,"On May 20th, Pittsburgh Pirate captain Willie Stargell launched a 535-foot rocket off the Montreal Expos' Wayne Twitchell for his four-hundred seventh career home run at Olympic Stadium. It was the longest ball ever hit in the ballpark and put ""Pops"" on the all-time homer list beside Duke Snider."
1978,Chicago Cubs manager Herman Franks and Montreal Expos skipper Dick Williams combined to use forty-five players in a nine inning game setting the all-time record. They also tied another Major League mark by utilizing fourteen different pitchers en route to a 10-8 Canadian victory.
1978,"On June 30th, during the first game of a 10-9, 10-5 doubleheader loss to the Atlanta Braves, San Francisco Giants slugger Willie McCovey hit his five-hundredth career home run off Jamie Easterly to become the twelfth member of the ""500-HR"" club."
1978,"The New York Times reported that the renovations on ""The House That Ruth Built"" were up to a staggering $95.6 million dollars and that it would have cost only $48.8 million to build a brand new Yankee Stadium."
1978,"Don Sutton threatened to sue umpire Doug Harvey after the official claimed to find three ""doctored"" balls belonging to the Dodger righty during a game against the St. Louis Cardinals. After an investigation, Sutton was issued a warning from National League president Charles Feeney."
1978,"In what was a sign of things to come, major league umpires went on strike in August attempting to get better benefits. Amateur officiating crews were brought in to call thirteen games before a judge issued a formal restraining order sending the disgruntled picketers back to work."
1978,U.S. District Court Judge Constance Baker Motley ruled that women reporters could no longer be banned from the locker rooms of all New York City sports teams. The decision was ultimately initiated after Sports Illustrated magazine sued the Yankees on the behalf of Melissa Ludtke after she was denied equal access during the 1977 post-season.
1978,"""Never a day went by when you didn't learn something from (Joe) McCarthy."" - Joe DiMaggio"
1978,←1977| 1978 Hitting Statistics League Leaders |1979→
1978,←1977| 1978 Pitching Statistics League Leaders |1979→
1978,1978 All-Star Game| 1978 Team Standings |1978 World Series
1978,Hitting Statistics League Leaderboard
1978,Pitching Statistics League Leaderboard
1978,"On June 4, 1978, the Baltimore Orioles drafted a high school senior who pitched and played outfield. That versatile player had a 7-2 win-loss record, an ERA of 0.70, and was batting .492. That player wasCal Ripken, Jr."
1978,"On July 13, 1978, George Steinbrenner met with managerBilly Martinand the New York Yankees team. His message to the team was, ""I'm not going to lie down and die like a dog and neither are you."" On the 24th of July, the team was up to 52-42 andBilly Martinresigned for the first time in the 'Yankee Skipper Saga!'"
1978,"The 1978 season featured a constant battle for first place between the Red Sox and Yankees. On October 1, 1978, the final day of the regular season, the Red Sox won and the Yankees lost making them tied for first. On October 2, 1978, the two clubs met in a one game playoff andCy Young AwardwinnerRon Guidrynotched his twenty-fifth victory of the season. The 5-4 game is considered by many as one of the most exciting games in Major League history."
1978,Where what happened yesterdayis being preserved today.
1978,"Copyright 1999-. All Rights Reserved by Baseball Almanac, Inc.Hosted byHosting 4 Less. Part of theBaseball AlmanacFamily"
1979,"The construction of nuclear power plants in the United States temporarily came to a halt after a nuclear accident occurred at the Three Mile Island facility near Harrisburg, Pennsylvania. After several tense days of emergency cleanup, the leak was completely contained, but raised the concern about the safety of people living near such volatile energy sources. After a media frenzy erupted, the facility was toured by President Jimmy Carter in an effort to calm the panic stricken public."
1979,"On July 26th, U.S. President Jimmy Carter signed the Trade Act Bill in response to trade negotiations with Tokyo. The bill reduced further tariffs on a wide range of items, and introduced a new policy to handle unfair trade practices."
1979,"Militant Iranian students stormed the U.S. Embassy in Teheran (taking fifty-two Americans hostage) in protest after the Ayatollah Khomeini overthrew the Shah of Iran. The hostages were subjected to four-hundred forty-four days of brutal conditions amidst repeated negotiation failures. A rescue attempt called ""Operation Desert One"" was aborted in the Iranian desert the following year resulting in the deaths of eight Americans."
1979,"On April 5th, the Baltimore Orioles defeated the Chicago White Sox 5-3 giving Earl Weaver his one-thousandth career win as a Major League skipper."
1979,"Thurman Munson, the team captain of the New York Yankees, died when the Cessna Citation twin-engine jet he was piloting crashed outside of Canton, Ohio two-hundred feet short of the Akron Airport runway. The thirty-two year-old catcher was a three-time Golden Glove winner, the 1976 American League MVP and a seven-time All-Star. His lifetime batting average was .292 and included an incredible .529 average in the 1976 World Series."
1979,"On July 24th, Red Sox sensation Carl Yastrzemski hit his four-hundredth career home run off of the Oakland A's Mike Morgan at Fenway Park. On September 12th, ""The Yaz"" totaled his three-thousandth hit becoming the first American League player to tally both numbers."
1979,St. Louis Cardinal Gary Templeton became the first player in Major League history to have one-hundred hits from each side of the plate in the same season. The switch hitter batted strictly right-handed in his last nine games to aid his own cause in setting the record.
1979,"Pete Rose, then with the Philadelphia Phillies, totaled over two-hundred hits for the tenth season in his career breaking Ty Cobb's record of nine years."
1979,"Willie Stargell hit a two-run homer in the sixth inning of Game 7 to push the Pittsburgh Pirates ahead for good in a 4-1 World Series victory over the Baltimore Orioles. The championship title capped off a Cinderella season in which ""Pops"" and his ""Family"" brought fun back to baseball."
1979,"On May 17th, the forty-five day umpires strike concluded after fourteen hours of negotiation. The official's new agreement included a pay increase of approximately $7,000, a heightened cap on maximum salaries from $40,000 to $50,000, two weeks of vacation during the regular season and improved pension benefits. One controversial issue remained though as the league presidents voted to add some of the replacement umpires to the regular roster."
1979,"WLUP-FM's promotional ""Disco Demolition Night"" at Chicago's Comiskey Park went terribly wrong as 50,000 fans turned up to receive a $.98 ticket for the doubleheader with records and eventually rioted on the field. After a delay of one hour and sixteen minutes, the umpires determined that the field was unplayable and called the second game between the White Sox and visiting Detroit Tigers. The following day, American League President Lee MacPhail awarded the Tigers a 9-0 forfeit win."
1979,"Walter O'Malley, the man who moved the Dodgers from Brooklyn to Los Angeles, died at the Mayo Clinic on August 9th at the age of seventy-five. The team's still acting Chairman of the Board was still considered a sellout in New York and was quoted as saying that, ""Baseball wasn't a business, but more like a disease."""
1979,"Writer Daniel Okrent drew up the first set of official rules for a new pastime based on the actual day-to-day statistical play of real major leaguers. The ""rotisserie league"" would eventually evolve into the phenomenon known as ""Fantasy Baseball""."
1979,"""I never got many questions about my managing. I tried to get twenty-five guys who didn't ask questions."" - Earl Weaver"
1979,←1978| 1979 Hitting Statistics League Leaders |1980→
1979,←1978| 1979 Pitching Statistics League Leaders |1980→
1979,1979 All-Star Game| 1979 Team Standings |1979 World Series
1979,Hitting Statistics League Leaderboard
1979,Pitching Statistics League Leaderboard
1979,"On April 5, 1979, Earl Weaver, skipper of the Baltimore Orioles, achieved a managerial pinnacle when his club defeated the White Sox 5-3 giving himvictory number one-thousand."
1979,"Just how good wasNolan Ryan? On June 9, 1979 he struck out sixteen Detroit Tigers during a 9-1 Angels victory. This was the twenty-first time during his career where he struck out more than fifteen batters in a single game."
1979,"On September 12, 1979,Carl Yastrzemskihad career hit number three thousand. A couple months earlier, on the 24th of July, he had career home run number four hundred. This particular hit made him the first American League player with at least3,000 hitsand 400 home runs."
1979,Where what happened yesterdayis being preserved today.
1979,"Copyright 1999-. All Rights Reserved by Baseball Almanac, Inc.Hosted byHosting 4 Less. Part of theBaseball AlmanacFamily"
1980,"Former Beatle John Lennon was shot dead by Mark David Chapman who opened fire outside the musician's New York City apartment. The forty-year-old was hit several times as he entered the Dakota, his luxury apartment building on Manhattan's Upper West Side, opposite Central Park. He was later rushed in a police car to St Luke's Roosevelt Hospital Center, where he died of four gunshot wounds to the back. Chapman, a disturbed individual who identified with Holden Caulfield, the irked hero of J.D. Salinger's cult novel ""Catcher in the Rye"" still remains in jail to this day."
1980,"Eighty-seven million American TV viewers wondered ""Who Shot J.R.?"" as America's hottest prime-time series, a slick soap opera depicting the private lives and public connivances of the somewhat dysfunctional, oil-rich Ewing family ended with one of the most shocking season finales ever produced on television. Eight months later the show earned the second largest audience share in television history with a record 53.3 rating. The final tally: forty-one million of the nearly seventy-eight million households in the U.S. tuned in and the answer was..."
1980,"A failed U.S. military rescue mission called ""Operation Desert One"" was attempted several months after Shiite Muslim militants had attacked and seized the Embassy in Teheran, taking fifty-two Americans hostage. The attack upon the American Embassy occurred after the Shah of Iran was overthrown and power was seized by the Ayatollah Khomeini. The American hostages were subjected to four-hundred forty-four days of brutal conditions including mock executions and unfortunately their rescue attempt (ordered by President Jimmy Carter) failed miserably in the Iranian desert resulting in the deaths of eight Americans."
1980,Both Dwayne Murphy and Rickey Henderson stole home in the first inning of an Oakland 'A's 6-3 win over the Kansas City Royals to tie a Major League record originally set in the American League by the Minnesota Twins (1969) and in the National League by St. Louis Cardinals (1925).
1980,"The Cleveland Indians tied a Major League record on June 1st after hitting four sacrifice flies in a single game thanks to Ron Hassey, Dave Rosello, Gary Alexander, and Dell Alston. Despite their selfless efforts, the Indians went on to lose 8-7 to the Seattle Mariners."
1980,"Despite missing forty-five games with injuries, George Brett was named the American League's Most Valuable Player. The twenty-seven year-old third baseman's .390 average was the highest in the Major Leagues since the Boston Red Sox's Ted Williams' .406 in 1941. He also added twenty-four home runs and one-hundred eighteen RBIs to lead the Kansas City Royals to their first American League pennant."
